RANK,NAME,NET WORTH,AGE,STATE,SOURCE,PHILANTHROPY SCORE,INDUSTRY
314,Steven Klinsky,$3.6 B,67,New York,Investments,None,FINANCE & INVESTMENTS
314,Josh Kushner,$3.6 B,38,New York,Venture capital,None,FINANCE & INVESTMENTS
314,Daniel Och,$3.6 B,62,Florida,Hedge funds,3,FINANCE & INVESTMENTS
314,Bob Parsons,$3.6 B,72,Arizona,Web hosting,3,TECHNOLOGY
314,Ira Rennert,$3.6 B,89,New York,Investments,2,FINANCE & INVESTMENTS
314,Rodger Riney & family,$3.6 B,77,Missouri,Discount brokerage,2,FINANCE & INVESTMENTS
314,Vincent Viola,$3.6 B,67,New York,Electronic trading,2,FINANCE & INVESTMENTS
314,Jon Yarbrough,$3.6 B,66,Tennessee,Video games,1,GAMBLING & CASINOS
326,William Berkley,$3.5 B,77,Florida,Insurance,1,FINANCE & INVESTMENTS
326,John Bicket,$3.5 B,43,California,Sensor systems,None,TECHNOLOGY
326,David Filo,$3.5 B,57,California,Yahoo,3,TECHNOLOGY
326,"Amos Hostetter, Jr.",$3.5 B,86,Massachusetts,Cable television,5,MEDIA & ENTERTAINMENT
326,John Paulson,$3.5 B,67,New York,Hedge funds,4,FINANCE & INVESTMENTS
326,J.B. Pritzker,$3.5 B,58,Illinois,"Hotels, investments",3,FINANCE & INVESTMENTS
326,J. Joe Ricketts & family,$3.5 B,82,Wyoming,TD Ameritrade,3,FINANCE & INVESTMENTS
326,David Rubenstein,$3.5 B,74,Maryland,Private equity,4,FINANCE & INVESTMENTS
326,Herb Simon,$3.5 B,88,Indiana,Real estate,2,REAL ESTATE
326,Pat Stryker,$3.5 B,67,Colorado,Medical equipment,3,HEALTHCARE
326,Carl Thoma,$3.5 B,74,Texas,Private equity,2,FINANCE & INVESTMENTS
326,Charles Zegar,$3.5 B,75,New York,Bloomberg LP,2,FINANCE & INVESTMENTS
338,Neal Blue & family,$3.4 B,88,California,Defense,None,MANUFACTURING
338,Jane Lauder,$3.4 B,50,New York,Estée Lauder,None,FASHION & RETAIL
338,David Murdock,$3.4 B,10,,"0CaliforniaDole, real estate",None,FOOD & BEVERAGE
338,Jonathan Nelson,$3.4 B,67,Rhode Island,Private equity,2,FINANCE & INVESTMENTS
338,Eren Ozmen,$3.4 B,65,Nevada,Aerospace,1,MANUFACTURING
338,Stewart Rahr,$3.4 B,77,New York,Drug distribution,3,HEALTHCARE
338,Steve Wynn,$3.4 B,81,Florida,"Casinos, hotels",1,GAMBLING & CASINOS
345,John Arnold,$3.3 B,49,Texas,Hedge funds,5,FINANCE & INVESTMENTS
345,Seth Boro,$3.3 B,48,California,Private equity,1,FINANCE & INVESTMENTS
345,"William Conway, Jr.",$3.3 B,74,Virginia,Private equity,4,FINANCE & INVESTMENTS
345,Scott Crabill,$3.3 B,53,California,Private equity,1,FINANCE & INVESTMENTS
345,Bom Kim,$3.3 B,45,,Online retailing,None,TECHNOLOGY
345,Richard LeFrak & family,$3.3 B,78,New York,Real estate,2,REAL ESTATE
345,Daniel Loeb,$3.3 B,61,New York,Hedge funds,2,FINANCE & INVESTMENTS
345,Fatih Ozmen,$3.3 B,65,Nevada,Aerospace,1,MANUFACTURING
345,Penny Pritzker,$3.3 B,64,Illinois,"Hotels, investments",3,FINANCE & INVESTMENTS
345,Holden Spaht,$3.3 B,49,California,Private equity,1,FINANCE & INVESTMENTS
345,Frank VanderSloot,$3.3 B,75,Idaho,"Nutrition, wellness products",3,FASHION & RETAIL
356,Nicolas Berggruen,$3.2 B,62,California,"Real estate, investments",2,REAL ESTATE
356,George Bishop,$3.2 B,85,Texas,Oil & gas,1,ENERGY
356,Norman Braman,$3.2 B,91,Florida,"Art, car dealerships",2,AUTOMOTIVE
356,Todd Christopher,$3.2 B,60,Florida,Hair care products,1,FASHION & RETAIL
356,Stephen Deckoff,$3.2 B,57,,U.S. Virgin IslandsPrivate equity,1,FINANCE & INVESTMENTS
356,Robert Johnson,$3.2 B,76,Florida,"Johnson & Johnson, New York Jets",None,SPORTS
356,Richard Peery,$3.2 B,85,California,Real estate,2,REAL ESTATE
356,Robert Sands,$3.2 B,65,Florida,Liquor,1,FOOD & BEVERAGE
356,Howard Schultz,$3.2 B,70,Washington,Starbucks,3,FOOD & BEVERAGE
356,Warren Stephens,$3.2 B,66,Arkansas,Investment banking,1,FINANCE & INVESTMENTS
366,Brian Acton,$3.1 B,51,California,WhatsApp,4,TECHNOLOGY
366,George Argyros & family,$3.1 B,86,California,"Real estate, investments",3,REAL ESTATE
366,Ron Burkle,$3.1 B,70,,"Supermarkets, investments",1,FINANCE & INVESTMENTS
366,Andrew Cherng,$3.1 B,76,Nevada,Fast food,2,FOOD & BEVERAGE
366,Peggy Cherng,$3.1 B,75,Nevada,Fast food,2,FOOD & BEVERAGE
366,Bennett Dorrance,$3.1 B,77,Arizona,Campbell Soup,2,FOOD & BEVERAGE
366,Rajiv Jain,$3.1 B,55,Florida,Finance,1,FINANCE & INVESTMENTS
366,Pablo Legorreta,$3.1 B,59,New York,Investments,1,FINANCE & INVESTMENTS
366,"Drayton McLane, Jr.",$3.1 B,87,Texas,"Walmart, logistics",2,FASHION & RETAIL
366,Vincent McMahon,$3.1 B,78,Connecticut,Entertainment,1,SPORTS
366,Geoffrey Palmer,$3.1 B,73,California,Real estate,1,REAL ESTATE
366,Rodney Sacks & family,$3.1 B,73,California,Energy drinks,None,FOOD & BEVERAGE
366,Jerry Speyer & family,$3.1 B,83,New York,Real estate,1,REAL ESTATE
379,Aneel Bhusri,$3 B,57,California,Business software,1,TECHNOLOGY
379,Charles Cohen,$3 B,71,New York,Real estate,1,REAL ESTATE
379,"Edward DeBartolo, Jr.",$3 B,76,Florida,Shopping centers,2,REAL ESTATE
379,John Paul DeJoria,$3 B,79,Texas,"Hair products, tequila",2,FASHION & RETAIL
379,James Duff,$3 B,62,Mississippi,"Tires, diversified",1,DIVERSIFIED
379,Thomas Duff,$3 B,66,Mississippi,"Tires, diversified",1,DIVERSIFIED
379,J. Tomilson Hill,$3 B,75,New York,Investments,2,FINANCE & INVESTMENTS
379,Stewart Horejsi & family,$3 B,86,Arizona,Berkshire Hathaway,2,FINANCE & INVESTMENTS
379,Michael Jordan,$3 B,60,Florida,"Charlotte Hornets, endorsements",1,SPORTS
379,Haim Saban,$3 B,78,California,"TV network, investments",3,MEDIA & ENTERTAINMENT
379,Leonard Schleifer,$3 B,71,New York,Pharmaceuticals,1,HEALTHCARE
379,Jeffrey Talpins,$3 B,48,New York,Hedge fund,None,FINANCE & INVESTMENTS
379,Thomas Tull,$3 B,53,Pennsylvania,"Movies, investments",2,MEDIA & ENTERTAINMENT
379,Todd Wanek,$3 B,59,Florida,Furniture,2,MANUFACTURING
379,Meg Whitman,$3 B,67,California,EBay,2,TECHNOLOGY
379,"William Wrigley, Jr.",$3 B,59,Florida,Chewing gum,None,FOOD & BEVERAGE
395,Bill Austin,$2.9 B,81,Texas,Hearing aids,None,MANUFACTURING
395,J. Hyatt Brown,$2.9 B,86,Florida,Insurance,2,FINANCE & INVESTMENTS
395,Ray Davis,$2.9 B,81,Texas,Pipelines,2,ENERGY
395,Chris Larsen,$2.9 B,63,California,Cryptocurrency,4,FINANCE & INVESTMENTS
395,C. Dean Metropoulos,$2.9 B,77,Florida,Investments,1,FOOD & BEVERAGE
395,Daniel Sundheim,$2.9 B,46,New York,Hedge funds,1,FINANCE & INVESTMENTS
