RANK,NAME,NET WORTH,AGE,STATE,SOURCE,PHILANTHROPY SCORE,INDUSTRY,Self-Made Score,Source of Wealth,Residence,Citizenship,Marital Status,Children,Education,Age,Philanthropy Score,Wealth History,Agent,Agency,Lifetime Giving,Giving as a percentage of net worth
65,Eric Smidt,$10.5 B,63,California,Hardware stores,1,FASHION & RETAIL,10,"Hardware stores, Self Made","Beverly Hills, California",United States,Married,,,64,1,"$2B : March 2017
$2.4B : March 2018
$2.7B : March 2019
$3B : April 2020
$4.7B : April 2021
$5.5B : April 2022
$9.2B : April 2023
$11.7B : April 2024
",,,,
66,Melinda French Gates,$10.3 B,59,Washington,Microsoft,5,TECHNOLOGY,2,Microsoft,"Medina, Washington",United States,Divorced,3,"Bachelor of Arts/Science, Duke University; Master of Business Administration, Fuqua School of Business",59,5,"$6.2B : April 2022
$6.5B : April 2023
$11.1B : April 2024
",,,,
67,Judy Love & family,$10.2 B,86,Oklahoma,Gas stations,1,FASHION & RETAIL,9,"Gas stations, Self Made","Oklahoma City, Oklahoma",United States,Widowed,4,"Drop Out, St. John's University (MN); Bachelor of Arts/Science, University of Central Oklahoma",87,1,"$4B : March 2015
$5.9B : March 2016
$5.2B : March 2017
$5.8B : March 2018
$7B : March 2019
$6.5B : April 2020
$10.8B : April 2021
$9.7B : April 2022
$10.9B : April 2023
$10.2B : April 2024
",,,,
67,David Sun,$10.2 B,71,California,Computer hardware,1,TECHNOLOGY,10,"Computer hardware, Self Made","Irvine, California",United States,Married,2,"Bachelor of Engineering, Tatung University",72,1,"$5B : March 2015
$4.5B : March 2016
$5.3B : March 2017
$5.7B : March 2018
$4.7B : March 2019
$4.2B : April 2020
$9.1B : April 2021
$5.6B : April 2022
$6.7B : April 2023
$13.6B : April 2024
",,,,
67,John Tu,$10.2 B,82,California,Computer hardware,1,TECHNOLOGY,9,"Computer hardware, Self Made","Rolling Hills, California",United States,Married,2,"Bachelor of Arts/Science, Technische Universität Darmstadt",82,1,"$5B : March 2015
$4.5B : March 2016
$5.3B : March 2017
$5.7B : March 2018
$4.7B : March 2019
$4.2B : April 2020
$9.1B : April 2021
$5.6B : April 2022
$6.7B : April 2023
$13.6B : April 2024
",,,,
70,Stephen Ross,$10.1 B,83,New York,Real estate,2,REAL ESTATE,8,"Real estate, Self Made","New York, New York",United States,Married,4,"Master of Laws, New York University; Bachelor of Arts/Science, University of Michigan; Doctor of Jurisprudence, Wayne State University",84,2,"$6.5B : March 2015
$12B : March 2016
$7.4B : March 2017
$7.6B : March 2018
$7.6B : March 2019
$7.6B : April 2020
$7B : April 2021
$8.2B : April 2022
$11.6B : April 2023
$10.1B : April 2024
",,,,
70,Patrick Ryan,$10.1 B,86,Illinois,Insurance,2,FINANCE & INVESTMENTS,8,"Insurance, Self Made","Winnetka, Illinois",United States,Married,3,"Bachelor of Arts/Science, Northwestern University",87,2,"$2.6B : March 2015
$2.3B : March 2016
$2.5B : March 2017
$2.6B : March 2018
$3B : March 2019
$2.9B : April 2020
$3.4B : April 2021
$8B : April 2022
$8B : April 2023
$10.7B : April 2024
",,,,
72,Brian Chesky,$10 B,42,California,Airbnb,1,TECHNOLOGY,8,"Airbnb, Self Made","San Francisco, California",United States,Single,,"Bachelor of Arts/Science, Rhode Island School of Design",42,1,"$1.9B : March 2015
$3.3B : March 2016
$3.8B : March 2017
$3.8B : March 2018
$3.7B : March 2019
$4.1B : April 2020
$13.7B : April 2021
$11.5B : April 2022
$9.3B : April 2023
$11B : April 2024
",,,,
72,John Malone,$10 B,82,Colorado,Cable television,3,MEDIA & ENTERTAINMENT,8,"Cable television, Self Made","Elizabeth, Colorado",United States,Married,2,"Doctorate, Johns Hopkins University; Master of Science, Johns Hopkins University; Bachelor of Arts/Science, Yale University",83,3,"$8.3B : March 2015
$6.3B : March 2016
$7.7B : March 2017
$8.1B : March 2018
$7.2B : March 2019
$5.8B : April 2020
$7.8B : April 2021
$7.4B : April 2022
$9.2B : April 2023
$9.8B : April 2024
",,,,
72,Henry Samueli,$10 B,69,California,Semiconductors,2,TECHNOLOGY,9,"Semiconductors, Self Made","Newport Beach, California",United States,Married,3,"Bachelor of Arts/Science, University of California, Los Angeles; Doctorate, University of California, Los Angeles; Master of Science, University of California, Los Angeles",69,2,"$2.4B : March 2015
$2.6B : March 2016
$3.6B : March 2017
$3.8B : March 2018
$4.3B : March 2019
$3.5B : April 2020
$6.1B : April 2021
$7.3B : April 2022
$7.7B : April 2023
$14.1B : April 2024
",,,,
75,Carl Cook,$9.8 B,61,Indiana,Medical devices,None,HEALTHCARE,3,Medical devices,"Bloomington, Indiana",United States,Married,,"Bachelor of Arts/Science, Purdue University; Master of Business Administration, Tippie School of Management",61,,"$6.5B : March 2015
$4.8B : March 2016
$7.4B : March 2017
$8B : March 2018
$8.3B : March 2019
$8B : April 2020
$9.9B : April 2021
$11.1B : April 2022
$10.2B : April 2023
$10.6B : April 2024
",,,,
76,Bubba Cathy,$9.7 B,69,Georgia,Chick-fil-A,1,FOOD & BEVERAGE,4,Chick-fil-A,"Atlanta, Georgia",United States,Married,6,"Bachelor of Arts/Science, Samford University",70,1,"$3.2B : March 2015
$3.3B : March 2016
$3.8B : March 2017
$4.8B : March 2018
$6B : March 2019
$3.4B : April 2020
$8.3B : April 2021
$4.6B : April 2022
$6.6B : April 2023
$11.2B : April 2024
",,,,
76,Dan Cathy,$9.7 B,70,Georgia,Chick-fil-A,1,FOOD & BEVERAGE,4,Chick-fil-A,"Atlanta, Georgia",United States,Married,2,"Bachelor of Arts/Science, Georgia Southern University",71,1,"$3.2B : March 2015
$3.3B : March 2016
$3.8B : March 2017
$4.8B : March 2018
$6B : March 2019
$3.4B : April 2020
$8.3B : April 2021
$4.6B : April 2022
$6.6B : April 2023
$11.2B : April 2024
",,,,
76,Trudy Cathy White,$9.7 B,67,Georgia,Chick-fil-A,1,FOOD & BEVERAGE,2,Chick-fil-A,"Hampton, Georgia",United States,Married,4,"Bachelor of Arts/Science, Samford University",68,1,"$4.6B : April 2022
$6.6B : April 2023
$11.2B : April 2024
",,,,
76,Marijke Mars,$9.7 B,59,California,"Candy, pet food",None,FOOD & BEVERAGE,2,"Candy, pet food","Los Angeles, California",United States,Divorced,,"Bachelor of Arts/Science, Duke University",60,,"$5.9B : March 2018
$6B : March 2019
$6.2B : April 2020
$7.8B : April 2021
$7.9B : April 2022
$9.6B : April 2023
$9.6B : April 2024
",,,,
76,Pamela Mars,$9.7 B,63,Virginia,"Candy, pet food",None,FOOD & BEVERAGE,2,"Candy, pet food","Alexandria, Virginia",United States,Married,3,"Bachelor of Arts/Science, Vassar College",64,,"$5.9B : March 2018
$6B : March 2019
$6.2B : April 2020
$7.8B : April 2021
$7.9B : April 2022
$9.6B : April 2023
$9.6B : April 2024
",,,,
76,Valerie Mars,$9.7 B,64,New York,"Candy, pet food",None,FOOD & BEVERAGE,2,"Candy, pet food","New York, New York",United States,Married,2,"Master of Business Administration, Columbia University; Bachelor of Arts/Science, Yale University",65,,"$5.9B : March 2018
$6B : March 2019
$6.2B : April 2020
$7.8B : April 2021
$7.9B : April 2022
$9.6B : April 2023
$9.6B : April 2024
",,,,
76,Victoria Mars,$9.7 B,66,Pennsylvania,"Candy, pet food",None,FOOD & BEVERAGE,2,"Candy, pet food","Philadelphia, Pennsylvania",United States,Married,4,"Master of Business Administration, University of Pennsylvania, The Wharton School; Bachelor of Arts/Science, Yale University",67,,"$5.9B : March 2018
$6B : March 2019
$6.2B : April 2020
$7.8B : April 2021
$7.9B : April 2022
$9.6B : April 2023
$9.6B : April 2024
",,,,
76,George Roberts,$9.7 B,80,California,Private equity,3,FINANCE & INVESTMENTS,8,"Private equity, Self Made","Atherton, California",United States,"Widowed, Remarried",3,"Bachelor of Arts/Science, Claremont McKenna College; Doctor of Jurisprudence, UC Hastings",80,3,"$5.2B : March 2015
$4.1B : March 2016
$5B : March 2017
$5.4B : March 2018
$5.5B : March 2019
$5.3B : April 2020
$7.6B : April 2021
$8B : April 2022
$8.2B : April 2023
$12.7B : April 2024
",,,,
76,Harry Stine,$9.7 B,81,Iowa,Agriculture,1,FOOD & BEVERAGE,10,"Agriculture, Self Made","Adel, Iowa",United States,Married,4,,82,1,"$3.3B : March 2015
$3.6B : March 2016
$3.5B : March 2017
$3.9B : March 2018
$3.9B : March 2019
$3.8B : April 2020
$5.4B : April 2021
$6.9B : April 2022
$7.4B : April 2023
$9.7B : April 2024
",,,,
85,Michael Kim,$9.6 B,60,,Private equity,1,FINANCE & INVESTMENTS,7,"Private equity, Self Made","Seoul, South Korea",United States,Married,2,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Haverford College",60,1,"$1B : March 2018
$1B : March 2019
$1.5B : April 2020
$1.9B : April 2021
$7.5B : April 2022
$9.7B : April 2023
$9.7B : April 2024
",,,,
86,Nathan Blecharczyk,$9.5 B,40,California,Airbnb,1,TECHNOLOGY,8,"Airbnb, Self Made","San Francisco, California",United States,Married,2,"Bachelor of Arts/Science, Harvard University",41,1,"$1.9B : March 2015
$3.3B : March 2016
$3.8B : March 2017
$3.8B : March 2018
$3.7B : March 2019
$4.1B : April 2020
$12.4B : April 2021
$9.2B : April 2022
$8B : April 2023
$10.6B : April 2024
",,,,
87,Ann Walton Kroenke,$9.4 B,74,Texas,Walmart,1,FASHION & RETAIL,1,Walmart,"Electra, Texas",United States,Married,2,"Registered Nurse, Lincoln University",75,1,"$5.6B : March 2015
$4.5B : March 2016
$6B : March 2017
$6.6B : March 2018
$6.5B : March 2019
$7.9B : April 2020
$8.4B : April 2021
$9B : April 2022
$8.5B : April 2023
$10B : April 2024
",,,,
88,Nancy Walton Laurie,$9.3 B,72,Nevada,Walmart,1,FASHION & RETAIL,1,Walmart,"Henderson, Nevada",United States,Married,1,"Bachelor of Arts/Science, University of Memphis",73,1,"$4.7B : March 2015
$4B : March 2016
$4.3B : March 2017
$5.8B : March 2018
$5.7B : March 2019
$7.1B : April 2020
$7.5B : April 2021
$8.1B : April 2022
$7.9B : April 2023
$10.1B : April 2024
",,,,
89,Jay Chaudhry,$9.2 B,64,Nevada,Security software,None,TECHNOLOGY,9,"Security software, Self Made","Reno, Nevada",United States,Married,3,"Bachelor of Technology, Indian Institute of Technology, BHU",64,,"$2.8B : April 2020
$10B : April 2021
$11.4B : April 2022
$6B : April 2023
$11.3B : April 2024
",,,,
89,Bernard Marcus,$9.2 B,94,Georgia,Home Depot,4,FASHION & RETAIL,10,"Home Depot, Self Made","Atlanta, Georgia",United States,Married,3,"Bachelor of Arts/Science, Rutgers University",95,4,"$3.8B : March 2015
$3.3B : March 2016
$4B : March 2017
$5.1B : March 2018
$5.2B : March 2019
$4.6B : April 2020
$7.2B : April 2021
$8.7B : April 2022
$8B : April 2023
$10.3B : April 2024
",,,,
89,Robert F. Smith,$9.2 B,60,Texas,Private equity,2,FINANCE & INVESTMENTS,8,"Private equity, Self Made","Austin, Texas",United States,Married,7,"Master of Business Administration, Columbia University; Bachelor of Arts/Science, Cornell University",61,2,"$2.5B : March 2016
$2.5B : March 2017
$4.4B : March 2018
$5B : March 2019
$5B : April 2020
$6B : April 2021
$6.7B : April 2022
$8B : April 2023
$9.2B : April 2024
",,,,
92,Ramzi Musallam,$9 B,55,New York,Private equity,None,FINANCE & INVESTMENTS,6,"Private equity, Self Made","New York, New York",United States,,,"Bachelor of Arts/Science, Colgate University; Master of Business Administration, University of Chicago Booth School of Business",55,,"$4B : April 2022
$7.9B : April 2023
$9B : April 2024
",,,,
92,J. Christopher Reyes,$9 B,69,Florida,Food distribution,1,FOOD & BEVERAGE,8,"Food distribution, Self Made","Hobe Sound, Florida",United States,Married,4,"Bachelor of Arts/Science, University of Maryland",70,1,"$4B : March 2015
$3.1B : March 2016
$4.1B : March 2017
$4.7B : March 2018
$4.9B : March 2019
$6.8B : April 2020
$5.5B : April 2021
$7.1B : April 2022
$7B : April 2023
$9B : April 2024
",,,,
92,Jude Reyes,$9 B,68,Florida,Food distribution,1,FOOD & BEVERAGE,8,"Food distribution, Self Made","Palm Beach, Florida",United States,Married,3,"Bachelor of Arts/Science, Wofford College",68,1,"$4B : March 2015
$3.1B : March 2016
$4.1B : March 2017
$4.7B : March 2018
$4.9B : March 2019
$6.8B : April 2020
$5.5B : April 2021
$7.1B : April 2022
$7B : April 2023
$9B : April 2024
",,,,
92,Charles Schwab,$9 B,86,California,Discount brokerage,3,FINANCE & INVESTMENTS,8,"Discount brokerage, Self Made","Woodside, California",United States,Married,5,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, Stanford University",87,3,"$6.4B : March 2015
$5.4B : March 2016
$8.3B : March 2017
$9.4B : March 2018
$8.3B : March 2019
$6.7B : April 2020
$10.6B : April 2021
$12.2B : April 2022
$9.2B : April 2023
$9.8B : April 2024
",,,,
96,Joe Gebbia,$8.9 B,42,Texas,Airbnb,2,TECHNOLOGY,8,"Airbnb, Self Made","Austin, Texas",United States,In Relationship,,"Bachelor of Arts/Science, Rhode Island School of Design",42,2,"$1.9B : March 2015
$3.3B : March 2016
$3.8B : March 2017
$3.8B : March 2018
$3.7B : March 2019
$4.1B : April 2020
$12.4B : April 2021
$10B : April 2022
$7.6B : April 2023
$9.7B : April 2024
",,,,
96,Henry Kravis,$8.9 B,79,New York,Private equity,3,FINANCE & INVESTMENTS,8,"Private equity, Self Made","New York, New York",United States,Married,2,"Bachelor of Arts/Science, Claremont McKenna College; Master of Business Administration, Columbia Business School",80,3,"$5.2B : March 2015
$4.2B : March 2016
$5B : March 2017
$5.3B : March 2018
$5.5B : March 2019
$5.2B : April 2020
$7.3B : April 2021
$7.7B : April 2022
$7.5B : April 2023
$11.7B : April 2024
",,,,
98,Pauline MacMillan Keinath,$8.8 B,89,Missouri,Cargill,1,FOOD & BEVERAGE,1,Cargill,"St. Louis, Missouri",United States,Married,4,,90,1,"$5.8B : March 2015
$5.7B : March 2016
$6.8B : March 2017
$7.4B : March 2018
$6.9B : March 2019
$4.8B : April 2020
$6.4B : April 2021
$8.8B : April 2022
$6.9B : April 2023
$7.3B : April 2024
",,,,
99,Orlando Bravo,$8.7 B,53,Florida,Private equity,1,FINANCE & INVESTMENTS,8,"Private equity, Self Made","Miami Beach, Florida",United States,Married,4,"Bachelor of Arts/Science, Brown University; Master of Business Administration, Stanford Graduate School of Business; Doctor of Jurisprudence, Stanford University",53,1,"$3B : April 2020
$4.4B : April 2021
$6.3B : April 2022
$7.9B : April 2023
$8.7B : April 2024
",,,,
99,Jimmy Haslam,$8.7 B,69,Tennessee,"Gas stations, retail",2,FASHION & RETAIL,3,"Gas stations, retail","Knoxville, Tennessee",United States,Married,3,"Bachelor of Arts/Science, University of Tennessee Knoxville",70,2,"$2.8B : March 2015
$2.3B : March 2016
$3.6B : March 2017
$3.4B : March 2018
$2.7B : March 2019
$2.7B : April 2020
$3B : April 2021
$3.8B : April 2022
$4.8B : April 2023
$8B : April 2024
",,,,
99,Elizabeth Johnson,$8.7 B,60,Massachusetts,Fidelity,2,FINANCE & INVESTMENTS,1,Fidelity,"Boston, Massachusetts",United States,,,"Bachelor of Arts/Science, Franklin Pierce University",61,2,"$3.6B : March 2018
$3.5B : March 2019
$2.4B : April 2020
$4.8B : April 2021
$5.1B : April 2022
$5.3B : April 2023
$9.9B : April 2024
",,,,
102,James Goodnight,$8.5 B,80,North Carolina,Software,2,TECHNOLOGY,8,"Software, Self Made","Cary, North Carolina",United States,Married,3,"Bachelor of Arts/Science, North Carolina State University; Doctorate, North Carolina State University; Master of Science, North Carolina State University",81,2,"$7.5B : March 2015
$8B : March 2016
$9.4B : March 2017
$9B : March 2018
$8.9B : March 2019
$6.1B : April 2020
$6.5B : April 2021
$6.7B : April 2022
$7.4B : April 2023
$10.1B : April 2024
",,,,
102,"Henry Nicholas, III.",$8.5 B,63,California,Semiconductors,1,TECHNOLOGY,8,"Semiconductors, Self Made","Newport Coast, California",United States,Divorced,3,"Bachelor of Arts/Science, University of California, Los Angeles; Doctorate, University of California, Los Angeles; Master of Science, University of California, Los Angeles",64,1,"$1.7B : March 2015
$2B : March 2016
$3B : March 2017
$3.3B : March 2018
$3.8B : March 2019
$2.7B : April 2020
$5.4B : April 2021
$6.5B : April 2022
$6.6B : April 2023
$11.9B : April 2024
",,,,
104,Marc Benioff,$8.4 B,59,California,Business software,4,TECHNOLOGY,8,"Business software, Self Made","San Francisco, California",United States,Married,2,"Bachelor of Arts/Science, University of Southern California",59,4,"$3.4B : March 2015
$3.3B : March 2016
$4B : March 2017
$4.9B : March 2018
$6.6B : March 2019
$5.8B : April 2020
$8.4B : April 2021
$8.1B : April 2022
$7B : April 2023
$10.6B : April 2024
",,,,
105,Robert Pera,$8.3 B,45,California,Wireless networking,1,TECHNOLOGY,8,"Wireless networking, Self Made","San Jose, California",United States,Single,,"Bachelor of Arts/Science, University of California, San Diego; Master of Science, University of California, San Diego",46,1,"$1.8B : March 2015
$2B : March 2016
$3B : March 2017
$4.3B : March 2018
$6.9B : March 2019
$7B : April 2020
$18.3B : April 2021
$14.6B : April 2022
$15.5B : April 2023
$6.4B : April 2024
",,,,
105,David Shaw,$8.3 B,72,New York,Hedge funds,2,FINANCE & INVESTMENTS,8,"Hedge funds, Self Made","New York, New York",United States,Married,3,"Doctorate, Stanford University; Bachelor of Arts/Science, University of California, San Diego",73,2,"$4.1B : March 2015
$5B : March 2016
$5.4B : March 2017
$6.4B : March 2018
$7B : March 2019
$7.3B : April 2020
$7.3B : April 2021
$7.5B : April 2022
$7.9B : April 2023
$8.3B : April 2024
",,,,
107,Elisabeth DeLuca & family,$8.2 B,76,Florida,Subway,2,FOOD & BEVERAGE,2,Subway,"Pompano Beach, Florida",United States,Widowed,1,,77,2,"$4B : April 2023
$8.2B : April 2024
",,,,
108,Jack Dangermond,$8.1 B,78,California,Mapping software,2,TECHNOLOGY,8,"Mapping software, Self Made","Redlands, California",United States,Married,,"Bachelor of Arts/Science, California State Polytechnical University; Master of Science, Harvard University; Master of Science, University of Minnesota",79,2,"$2.9B : March 2015
$3B : March 2016
$3.2B : March 2017
$4.1B : March 2018
$4B : March 2019
$4B : April 2020
$5.6B : April 2021
$6.4B : April 2022
$7B : April 2023
$9.7B : April 2024
",,,,
108,Tom Gores,$8.1 B,59,California,Private equity,1,FINANCE & INVESTMENTS,8,"Private equity, Self Made","Beverly Hills, California",United States,Married,3,"Bachelor of Arts/Science, Michigan State University",60,1,"$3.2B : March 2015
$3.3B : March 2016
$3.3B : March 2017
$3.9B : March 2018
$4B : March 2019
$5.7B : April 2020
$5.7B : April 2021
$6B : April 2022
$6.1B : April 2023
$9.1B : April 2024
",,,,
108,"Paul Tudor Jones, II.",$8.1 B,69,Florida,Hedge funds,2,FINANCE & INVESTMENTS,7,"Hedge funds, Self Made","Palm Beach, Florida",United States,Married,4,"Bachelor of Arts/Science, University of Virginia",69,2,"$4.6B : March 2015
$4.7B : March 2016
$4.7B : March 2017
$4.5B : March 2018
$5.1B : March 2019
$5.1B : April 2020
$7B : April 2021
$7.3B : April 2022
$7.5B : April 2023
$8.1B : April 2024
",,,,
108,Steven Rales,$8.1 B,72,California,"Manufacturing, investments",2,MANUFACTURING,7,"Manufacturing, investments, Self Made","Santa Barbara, California",United States,Married,3,"Law Degree, American University; Bachelor of Arts/Science, DePauw University",73,2,"$3.7B : March 2015
$3.6B : March 2016
$5.1B : March 2017
$5.6B : March 2018
$6B : March 2019
$5.8B : April 2020
$8.9B : April 2021
$8.4B : April 2022
$7.4B : April 2023
$8.3B : April 2024
",,,,
108,Antony Ressler,$8.1 B,62,California,Finance,2,FINANCE & INVESTMENTS,8,"Finance, Self Made","Los Angeles, California",United States,Married,3,"Master of Business Administration, Columbia Business School; Bachelor of Arts/Science, Georgetown University",63,2,"$1.5B : March 2015
$1.1B : March 2016
$1.8B : March 2017
$2B : March 2018
$2.1B : March 2019
$2.7B : April 2020
$4.3B : April 2021
$5.7B : April 2022
$5.9B : April 2023
$10.5B : April 2024
",,,,
108,Leonard Stern,$8.1 B,85,New York,Real estate,1,REAL ESTATE,5,Real estate,"New York, New York",United States,Married,3,"Master of Business Administration, Leonard N. Stern School of Business; Bachelor of Arts/Science, New York University",86,1,"$5.3B : March 2015
$4B : March 2016
$4.2B : March 2017
$4.5B : March 2018
$4.8B : March 2019
$4.5B : April 2020
$4.2B : April 2021
$6.2B : April 2022
$7.6B : April 2023
$8.1B : April 2024
",,,,
114,Rocco Commisso,$8 B,73,New Jersey,Telecom,1,TELECOM,10,"Telecom, Self Made","Saddle River, New Jersey",United States,Married,2,"Bachelor of Arts/Science, Columbia University; Master of Business Administration, Columbia University",74,1,"$4.3B : March 2018
$4.5B : March 2019
$4.5B : April 2020
$7.2B : April 2021
$6.1B : April 2022
$7.8B : April 2023
$8B : April 2024
",,,,
114,Tilman Fertitta,$8 B,66,Texas,"Entertainment, Houston Rockets",2,FOOD & BEVERAGE,9,"Entertainment, Houston Rockets, Self Made","Houston, Texas",United States,Married,4,"Drop Out, Texas Tech University; Drop Out, University of Houston",67,2,"$2.5B : March 2015
$3B : March 2016
$2.9B : March 2017
$4.3B : March 2018
$4.7B : March 2019
$4.3B : April 2020
$4.6B : April 2021
$5.6B : April 2022
$8.1B : April 2023
$9.4B : April 2024
",,,,
114,David Geffen,$8 B,80,California,"Movies, record labels",3,MEDIA & ENTERTAINMENT,9,"Movies, record labels, Self Made","Beverly Hills, California",United States,Single,,"Drop Out, The University of Texas at Austin",81,3,"$6.9B : March 2015
$6.5B : March 2016
$7.3B : March 2017
$8B : March 2018
$7.8B : March 2019
$7.6B : April 2020
$9.5B : April 2021
$10B : April 2022
$7.7B : April 2023
$8B : April 2024
",,,,
114,John Morris,$8 B,75,Missouri,Sporting goods retail,3,FASHION & RETAIL,9,"Sporting goods retail, Self Made","Springfield, Missouri",United States,Married,4,"Bachelor of Arts/Science, Drury University",76,3,"$4.1B : March 2015
$3.8B : March 2016
$4B : March 2017
$4.4B : March 2018
$5.7B : March 2019
$3.2B : April 2020
$4.1B : April 2021
$6B : April 2022
$8.3B : April 2023
$9.5B : April 2024
",,,,
118,Arthur Blank,$7.9 B,81,Georgia,Home Depot,3,SPORTS,9,"Home Depot, Self Made","Atlanta, Georgia",United States,Divorced,6,"Bachelor of Arts/Science, Babson College",81,3,"$2.5B : March 2015
$2.6B : March 2016
$3.3B : March 2017
$4.1B : March 2018
$4.7B : March 2019
$4.6B : April 2020
$6.2B : April 2021
$7.1B : April 2022
$7.5B : April 2023
$8.4B : April 2024
",,,,
119,Bruce Kovner,$7.7 B,78,New York,Hedge funds,2,FINANCE & INVESTMENTS,9,"Hedge funds, Self Made","New York, New York",United States,Married,3,"Bachelor of Arts/Science, Harvard University",79,2,"$5B : March 2015
$5.3B : March 2016
$5.5B : March 2017
$5.2B : March 2018
$5.2B : March 2019
$5.3B : April 2020
$6.6B : April 2021
$6.2B : April 2022
$6.6B : April 2023
$7.7B : April 2024
",,,,
119,Igor Olenicoff,$7.7 B,81,Florida,Real estate,1,REAL ESTATE,10,"Real estate, Self Made","Lighthouse Point, Florida",United States,Married,2,"Bachelor of Arts/Science, University of Southern California; Master of Business Administration, University of Southern California; Master of Science, University of Southern California",81,1,"$3.6B : March 2015
$3.5B : March 2016
$3.7B : March 2017
$4.2B : March 2018
$4B : March 2019
$3.9B : April 2020
$4.5B : April 2021
$4.7B : April 2022
$6.9B : April 2023
$7.7B : April 2024
",,,,
121,Charles Butt,$7.6 B,85,Texas,Supermarkets,4,FASHION & RETAIL,5,Supermarkets,"San Antonio, Texas",United States,Single,,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",86,4,"$2.3B : March 2008
$2.2B : March 2009
$4B : March 2010
$5.3B : March 2011
$6.4B : March 2012
$7.4B : March 2013
$10.1B : March 2014
$12.3B : March 2015
$7.5B : April 2023
$7.6B : April 2024
",,,,
121,David Steward,$7.6 B,72,Missouri,IT provider,2,TECHNOLOGY,10,"IT provider, Self Made","St. Louis, Missouri",United States,Married,,"Bachelor of Arts/Science, Central Missouri State University",73,2,"$3B : March 2019
$3.5B : April 2020
$3.7B : April 2021
$5.8B : April 2022
$6B : April 2023
$7.6B : April 2024
",,,,
123,Jeff Greene,$7.5 B,68,Florida,"Real estate, investments",1,REAL ESTATE,10,"Real estate, investments, Self Made","Palm Beach, Florida",United States,Married,3,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, Johns Hopkins University",69,1,"$3B : March 2015
$3.3B : March 2016
$3.4B : March 2017
$3.8B : March 2018
$3.4B : March 2019
$3.7B : April 2020
$3.9B : April 2021
$5.1B : April 2022
$7.2B : April 2023
$7.5B : April 2024
",,,,
123,Tamara Gustavson,$7.5 B,61,Kentucky,Self storage,1,SERVICE,2,Self storage,"Lexington, Kentucky",United States,Married,2,"Bachelor of Arts/Science, University of Southern California",62,1,"$4.3B : March 2015
$5B : March 2016
$5B : March 2017
$4.4B : March 2018
$4.6B : March 2019
$4.5B : April 2020
$5.6B : April 2021
$8.5B : April 2022
$7.1B : April 2023
$7.8B : April 2024
",,,,
123,Richard Kinder,$7.5 B,78,Texas,Pipelines,3,ENERGY,8,"Pipelines, Self Made","Houston, Texas",United States,Married,1,"Bachelor of Arts/Science, University of Missouri; Doctor of Jurisprudence, University of Missouri",79,3,"$12B : March 2015
$5.4B : March 2016
$7.2B : March 2017
$6.2B : March 2018
$6.6B : March 2019
$5.2B : April 2020
$7B : April 2021
$7.5B : April 2022
$7.2B : April 2023
$8.1B : April 2024
",,,,
123,Ralph Lauren,$7.5 B,83,New York,Apparel,1,FASHION & RETAIL,9,"Apparel, Self Made","New York, New York",United States,Married,3,"Drop Out, City University of New York City College; Diploma, High School",84,1,"$7B : March 2015
$5.5B : March 2016
$5.5B : March 2017
$6.2B : March 2018
$6.9B : March 2019
$5.7B : April 2020
$7.1B : April 2021
$6.9B : April 2022
$7B : April 2023
$9B : April 2024
",,,,
123,Robert Rowling,$7.5 B,70,Texas,"Hotels, investments",2,SERVICE,5,"Hotels, investments","Dallas, Texas",United States,Married,2,"Doctor of Jurisprudence, Southern Methodist University; Bachelor of Arts/Science, The University of Texas at Austin",70,2,"$5.4B : March 2015
$4.9B : March 2016
$6.2B : March 2017
$5.8B : March 2018
$5.3B : March 2019
$2.5B : April 2020
$3.9B : April 2021
$4.5B : April 2022
$5.6B : April 2023
$8.9B : April 2024
",,,,
128,Dannine Avara,$7.4 B,59,Texas,Pipelines,1,ENERGY,1,Pipelines,"Houston, Texas",United States,Married,,,60,1,"$6.2B : March 2015
$4.1B : March 2016
$5.7B : March 2017
$5.5B : March 2018
$5.9B : March 2019
$3.6B : April 2020
$6B : April 2021
$6.6B : April 2022
$6.8B : April 2023
$7.6B : April 2024
",,,,
128,Scott Duncan,$7.4 B,40,Texas,Pipelines,1,ENERGY,1,Pipelines,"Houston, Texas",United States,Single,,Houston Community College,41,1,"$6.2B : March 2015
$4.1B : March 2016
$5.7B : March 2017
$5.5B : March 2018
$5.9B : March 2019
$3.6B : April 2020
$6B : April 2021
$6.6B : April 2022
$6.8B : April 2023
$7.6B : April 2024
",,,,
128,Judy Faulkner,$7.4 B,80,Wisconsin,Healthcare software,2,TECHNOLOGY,8,"Healthcare software, Self Made","Madison, Wisconsin",United States,Married,3,"Bachelor of Arts/Science, Dickinson College; Master of Science, University of Wisconsin",81,2,"$2.8B : March 2015
$2.4B : March 2016
$2.4B : March 2017
$3.5B : March 2018
$3.6B : March 2019
$2.5B : April 2020
$6B : April 2021
$7B : April 2022
$7.1B : April 2023
$7.4B : April 2024
",,,,
